,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Abazin,0.10799,0.07553,-0.023146,-0.017563,-0.032314,0.000383,0.008167,-0.003115,-0.049904,-0.022278,-0.001583,0.005302,-0.017914,0.003785,0.001086,-0.011403,0.008573,-0.003753,-0.006741,0.019713,0.009031,0.000649,-0.001186,-0.006432,-0.002605
Abkhasian,0.108986,0.115263,-0.046857,-0.039971,-0.039892,-0.006414,0.01131,-0.006317,-0.06169,-0.022529,-0.002395,0.009273,-0.023377,0.003836,0.002765,-0.023352,0.011132,-0.005226,-0.011187,0.019588,0.013757,0.002782,0.003328,-0.00848,-0.001527
Adygei,0.112811,0.103359,-0.029751,-0.019237,-0.033442,-0.002076,0.009165,-0.003205,-0.051699,-0.024217,0.000686,0.007527,-0.020168,0.004557,0.005233,-0.016235,0.008678,-0.004617,-0.011969,0.019357,0.009566,0.000893,0.002602,-0.007257,-0.002847
Aeta,-0.016504,-0.333094,-0.092395,0.033269,0.104173,-0.006554,0.00235,-0.013961,0.004704,0.001458,0.042465,0.001948,-0.00721,0.001858,0.004682,6.6e-05,0.008671,0.007158,0.00088,0.003189,0.003369,-0.01793,-0.006039,-0.007471,-0.054366
Afrikaner,0.115892,0.129434,0.05242,0.03901,0.037056,0.014997,0.003814,0.006482,0.006675,0.005186,-0.0042,0.004278,-0.008825,-0.00725,0.014183,0.003116,-0.00547,0.003219,0.0026,0.003985,0.003329,0.002153,0.000459,0.010051,0.000321
Agta,-0.021057,-0.33157,-0.0956,0.034238,0.104481,-0.013945,0.000118,-0.009115,0.007056,0.001367,0.041084,0.004571,-0.00446,-0.006262,0.003732,0.000265,0.009453,0.011655,0.005091,0.003564,-0.000749,-0.028193,-0.011524,-0.008134,-0.061551
Albanian,0.118186,0.141751,0.015556,-0.015881,0.025159,-0.007414,0.003368,0.001808,0.000665,0.016128,0.00111,0.001549,-0.007099,0.006606,-0.019295,-0.004154,0.008127,0.001499,0.008296,-0.00594,-0.005563,0.000721,0.002424,0.002199,-0.002525
Algerian,-0.068057,0.13278,-0.007165,-0.067736,0.021222,-0.030074,-0.02212,0.007442,0.053031,0.025095,0.005508,-0.00617,0.020856,-0.01386,0.013023,-0.010171,-0.003357,-0.016401,-0.031644,0.00716,-0.009639,-0.028291,0.018189,-0.000266,0.001292
Altaian,0.057367,-0.28841,0.067052,-0.007881,-0.061304,-0.023873,0.011845,0.015738,0.001677,0.001968,-0.018642,-0.002518,0.000119,-0.011615,-0.00247,0.001989,-0.002764,-0.001318,0.011087,0.015257,-0.024157,0.001607,-0.014223,-0.00106,-0.002179
Amerindian_North,0.052928,-0.328016,0.112005,0.07744,-0.106174,-0.018407,-0.198349,-0.234798,-0.003733,-0.020137,0.008282,-0.003409,0.006392,6.9e-05,-0.015133,-0.004508,-0.000522,0.003262,0.011501,0.007347,0.003868,-0.010758,0.002711,0.006206,0.009281
Ami,0.019236,-0.450083,-0.047291,-0.067669,0.142027,0.063727,-0.00557,-0.014884,-0.022559,-0.022579,0.047547,0.004676,-0.005545,-0.001968,0.007234,0.00411,-0.003312,0.004979,0.008547,-0.019409,0.010906,-0.028193,0.002539,-0.006109,-0.054175
Armenian,0.102868,0.137985,-0.058124,-0.060845,-0.028698,-0.015897,0.004641,-0.005711,-0.030448,-0.004396,0.001299,-0.000225,-0.003029,0.002477,-0.004614,-0.001458,0.000407,0.000823,0.002577,-0.002798,0.000156,0.002489,-0.002249,-0.002184,-1.5e-05
Armenian_Hemsheni,0.107319,0.137387,-0.058346,-0.060355,-0.03482,-0.015339,0.007151,-0.007417,-0.046076,-0.005727,0.002737,0.007022,-0.012445,0.000963,-0.008376,-0.007747,0.00909,-0.000217,-0.002137,0.004591,0.00574,0.003869,-0.003046,-0.006335,0.000736
Ashkenazi_Belarussia,0.101915,0.133972,-0.00734,-0.03958,0.010771,-0.014459,-0.001012,-0.00103,0.005727,0.014621,0.002448,-0.000369,0.00231,-0.001461,-0.002944,0.002795,0.001815,-0.000341,0.001489,-0.00126,-0.003859,-0.00077,0.00274,0.001566,-0.000295
Ashkenazi_Germany,0.097319,0.142377,-0.014406,-0.049936,0.010925,-0.018769,-0.001974,-0.001754,0.009858,0.018843,0.003962,-0.001124,0.002512,-0.00267,-0.005049,0.003089,0.002203,-0.001698,-0.000779,-0.001126,-0.003344,-0.002696,0.000875,0.001386,0.000814
Ashkenazi_Lithuania,0.099854,0.132757,-0.009222,-0.040375,0.009484,-0.014147,-0.000556,-0.001175,0.006061,0.013701,0.00155,-0.001853,0.002568,0.000625,-0.004442,0.003459,0.0016,0.000161,0.000446,-0.003172,-0.003256,-0.00335,0.002924,0.002443,-0.001056
Ashkenazi_Poland,0.100117,0.136843,-0.007338,-0.043,0.009797,-0.015409,-0.000881,-0.000894,0.008198,0.014275,0.001164,-0.000593,0.00288,0.000166,-0.004145,-0.001674,-0.003765,3.2e-05,-0.000807,-0.004064,-0.002678,-0.002272,0.001689,0.002169,0.001527
Ashkenazi_Russia,0.101189,0.131511,-0.006449,-0.038276,0.010371,-0.014335,-0.001951,-0.000185,0.006545,0.01405,0.00112,3e-04,0.002141,0.00033,-0.005035,-0.000265,-0.001213,-0.00057,-0.002137,-0.003126,-0.003569,-0.002955,0.000629,0.004579,-0.001221
Ashkenazi_Ukraine,0.099424,0.135116,-0.005506,-0.040117,0.012048,-0.014265,-0.001093,0.000115,0.007772,0.012939,0.000804,0.000112,0.002416,0.000523,-0.00283,-0.00183,-0.004322,-1.9e-05,0.001276,-0.004677,-0.003126,-0.002591,0.00077,0.002103,0.001006
Assyrian,0.097888,0.132019,-0.062191,-0.06231,-0.031978,-0.017342,0.005811,-0.005727,-0.024506,-0.003794,0.004237,-0.001471,0.004717,-3e-04,-0.002751,0.008088,-0.000604,0.00114,0.001177,-0.005002,-0.002779,0.002316,-0.000112,-0.002552,0.002852
Asur,0.010244,-0.198028,-0.178378,0.120157,-0.028467,0.066655,-0.00658,0.017076,0.077821,0.047837,0.02111,0.002473,-0.004831,0.010803,-0.020358,-0.023203,0.009844,0.00095,-0.001634,0.023386,0.002558,0.016569,-0.001541,0.009459,0.004131
Atayal,0.015176,-0.444351,-0.042866,-0.068512,0.135034,0.060581,-0.002951,-0.014102,-0.022725,-0.019418,0.038161,0.004046,-0.003089,0.003074,0.013617,0.007882,-0.00452,0.004673,0.005475,-0.016063,0.003494,-0.02495,-0.000726,-0.006587,-0.050122
Australian,-0.042115,-0.235095,-0.213639,0.234499,0.138487,-0.340247,-0.003173,0.0075,-0.008283,0.00082,-0.006171,0.001199,0.000818,-0.002684,-0.003529,-0.000133,0.01004,0.002027,-0.002388,0.006065,0.003556,-0.000371,-0.003389,0.001265,-0.00455
Austrian,0.129089,0.135005,0.054394,0.032737,0.034776,0.012567,0.00723,0.006244,0.002827,0.002755,-0.003878,0.000785,-0.001294,0.002785,0.000503,0.003697,0.000222,0.00079,0.003179,0.000839,-0.000991,-0.002655,0.001667,0.002963,-0.001028
Avar,0.114341,0.104415,-0.023244,0.012186,-0.041518,0.012246,0.009187,-0.003797,-0.057527,-0.040539,0.00093,0.005245,-0.010636,-0.007206,0.015164,-0.002362,-0.001019,-0.001301,-0.006891,0.003854,-0.000386,0.001214,0.004325,0.009859,-0.002014
Aymara,0.056912,-0.312783,0.11917,0.093024,-0.114791,-0.014502,-0.301519,-0.359293,-0.009613,-0.016401,-0.000325,0.000899,-0.004608,0.023121,-0.013572,0.003447,0.00691,0.000253,-0.00176,0.002501,-0.001497,0.004081,0.003697,0.000361,-0.007544
Azeri,0.092197,0.089152,-0.049383,-0.040613,-0.036185,-0.004741,0.004317,-0.003838,-0.028278,-0.009764,-0.001821,-0.000237,0.000767,-0.001485,0.00155,0.004327,-0.002594,0.00122,0.001971,-0.00489,-0.000236,-0.001022,-0.001213,-0.002283,0.000889
Azeri_Dagestan,0.09969,0.096221,-0.04054,-0.02366,-0.03575,0.001836,0.006032,-0.004654,-0.039678,-0.018224,-0.002125,0.003572,-0.003159,-0.001158,0.007148,-0.000122,-0.00402,8.5e-05,-0.002168,-0.004012,0.000374,-0.00069,0.000626,5e-05,0.000709
Azeri_Turkey,0.094852,0.096813,-0.047894,-0.038114,-0.036417,-0.006414,0.004308,-0.005154,-0.025702,-0.00814,-0.002544,1e-04,-0.000248,0.002752,0.000362,-0.006718,-0.012734,0.005659,0.005489,-0.005669,0.00025,0.000618,-0.002177,-0.002812,0.002355
Bahun,0.056912,-0.104853,-0.096449,0.064197,-0.048778,0.043019,0.001351,0.006692,0.00767,0.009522,-0.022166,-0.004608,0.001933,-0.00898,0.003495,0.002884,0.003292,0.00285,-0.001697,-0.007285,-0.001341,0.001453,0.007179,-0.000512,0.007245
Bajo,0.002655,-0.385563,-0.096668,0.01292,0.145976,-0.031886,-0.002193,-0.009461,-0.01718,-0.018284,0.050232,0.006145,-0.004856,-0.003028,0.005565,0.004066,0.000348,0.002196,0.003897,-0.00346,-0.004908,-0.014138,-0.004478,-0.002972,-0.026265
Baka,-0.640255,0.062963,0.020553,0.030362,0.003385,0.009901,0.153462,-0.117226,-0.021168,0.032074,0.0095,-0.113824,-0.037314,-0.000895,0.002104,-0.003447,0.003194,-0.022107,0.005594,-0.001501,0.001996,-0.000371,0.001171,0.002169,-0.002814
Bakola,-0.641393,0.060424,0.026587,0.030847,0.001231,0.004183,0.157692,-0.122187,-0.015339,0.032256,0.006171,-0.089246,-0.02884,-0.00172,0.004682,-0.002917,0.001108,0.00266,0.000503,0.001563,-0.000873,-0.003957,-0.001479,0.001265,-0.001437
Balkar,0.106994,0.084289,-0.022376,-0.015289,-0.033442,0.000837,0.008225,-0.005692,-0.054949,-0.027092,-0.004276,0.008692,-0.012438,0.001697,0.005565,-0.013922,0.006085,-0.004181,-0.008506,0.01484,0.006447,0.002349,-0.000822,-0.005623,-0.00475
Balochi,0.068863,0.051876,-0.100628,0.030739,-0.072603,0.031491,0.005582,0.001577,-0.022736,-0.020805,-0.003884,-0.002148,0.003927,-0.008017,0.015958,0.030098,-0.010137,0.002924,0.007269,-0.026513,-0.001071,-0.015209,0.00037,-0.016097,0.013761
Bantu_Kenya,-0.600986,0.062455,0.014708,0.01179,0.002,0.00753,-0.012338,0.026537,0.002966,-0.02442,-0.002355,0.013338,-0.032036,0.003303,-0.035287,0.025921,-0.015255,-0.004371,-0.015272,0.006003,0.00287,-0.005132,-0.00302,0.000361,0.002215
Bantu_S.E.,-0.629315,0.063753,0.020197,0.017837,-0.001163,0.009451,0.02935,-0.012999,-0.02143,0.011461,0.002418,-0.007793,-0.011199,0.002294,-0.009817,0.006364,-0.005186,0.060318,-0.024916,0.003474,-0.004187,-0.000989,0.002342,0.001004,-0.000439
Bantu_S.W.,-0.622287,0.065864,0.018425,0.016012,0.000615,0.00757,0.001444,0.008934,-0.027435,0.017286,0.002853,-0.004646,-0.003037,0.001966,-0.005157,0.004887,-0.00339,0.02179,-0.010684,0.003788,-0.001177,0.000459,0.001497,0.000241,-0.000547
Bashkir,0.090508,-0.102306,0.06366,0.031758,-0.036166,-0.002987,0.008642,0.011166,-0.00764,-0.020081,0.00296,-0.004037,0.00985,-0.019303,-0.00503,-0.003007,-0.002616,-0.001063,-0.003301,-0.002562,-0.008348,0.0015,-0.002242,0.001376,-0.00185
Basque_French,0.128051,0.152025,0.055173,0.012823,0.056411,0.00251,-0.00141,0.003323,0.030597,0.041204,-0.009272,0.010341,-0.020976,-0.014024,0.013219,-0.001936,-0.011917,0.003028,-0.000716,-0.004415,0.010157,0.002485,-0.00864,-0.00917,7.2e-05
Basque_Spanish,0.131908,0.150411,0.058286,0.009008,0.057583,0.000124,-0.003316,0.00041,0.03136,0.045599,-0.004529,0.011606,-0.022778,-0.018763,0.017945,0.003727,-0.005809,0.002773,-0.001816,-7e-05,0.00879,0.002487,-0.006888,-0.009037,0.002262
Batak,-0.006829,-0.356451,-0.097486,0.01615,0.116176,0.000418,-0.002468,-0.014192,-0.005215,-0.007381,0.051883,0.008467,-0.006169,0.002959,0.005565,0.004177,0.004498,0.004244,0.00729,-0.002439,-0.003743,-0.021268,-0.013865,-0.008134,-0.049277
BedouinA,0.028582,0.133599,-0.047601,-0.08276,-0.013883,-0.032351,-0.010706,-0.004641,0.023452,-0.00162,0.008173,-0.010724,0.024744,0.000474,0.001568,0.007057,-0.002738,-0.002238,-0.003408,0.008254,0.000208,0.002528,0.000192,0.001767,-0.001597
BedouinB,0.041924,0.143923,-0.059815,-0.116981,-0.009318,-0.048062,-0.014101,-0.008743,0.05154,-0.005204,0.015869,-0.030573,0.062949,0.004855,0.004396,0.028853,-0.019971,0.00366,-0.004015,0.029,0.010967,0.01523,-0.003917,0.007103,-0.008309
Bedzan,-0.641962,0.062963,0.022816,0.02794,0.002308,0.00753,0.136071,-0.099227,-0.020452,0.03098,0.006496,-0.081602,-0.025495,-0.005298,0.004411,-0.003779,0.003325,-0.001964,0.001948,0.002001,-0.00443,-0.001669,-0.001356,-0.001627,-0.002155
Belarusian,0.132262,0.123623,0.075022,0.069596,0.040233,0.026569,0.010732,0.013322,-0.000273,-0.024602,-0.002696,-0.009212,0.019326,0.027231,-0.011265,-0.003801,-0.000965,0.000372,0.00414,-0.001051,-0.004234,-0.004608,0.007724,-0.00686,0.000695
Belgian,0.127187,0.137887,0.050869,0.02852,0.038879,0.011218,0.004239,0.003453,0.007416,0.011049,-0.005052,0.004701,-0.01273,-0.009613,0.013145,0.00357,-0.004404,0.00221,0.002211,-0.001278,0.003549,0.001749,-0.001406,0.010291,0.001109
Bengali_Bangladesh,0.043578,-0.110838,-0.150633,0.102484,-0.058384,0.061436,-0.003693,0.009659,0.042658,0.028923,-0.006496,-0.001306,-0.000616,0.00291,-0.004711,-0.008315,0.004005,0.001647,-0.00158,0.003716,-0.000909,0.002155,0.002676,0.004613,8.6e-05
Berber_Algeria,-0.293664,0.105158,0.001999,-0.040068,0.014449,-0.012341,-0.036673,0.021057,0.026936,0.021531,0.005757,-0.004526,0.021318,-0.007432,0.011428,-0.00883,0.003123,-0.011079,-0.023053,0.00499,-0.007362,-0.019636,0.012177,-0.000361,0.002652
Berber_MAR_ERR,-0.092359,0.130931,-0.003286,-0.071199,0.025653,-0.032491,-0.031223,0.010104,0.067347,0.029926,0.009848,-0.005973,0.021662,-0.016141,0.020193,-0.01414,-0.005979,-0.021365,-0.046131,0.009478,-0.016453,-0.041627,0.024808,-0.002066,0.005372
Berber_MAR_TIZ,-0.102522,0.131656,-0.002317,-0.075952,0.031061,-0.035658,-0.033506,0.012016,0.076653,0.031566,0.008815,-0.00926,0.024731,-0.020417,0.020348,-0.015721,0.000112,-0.028831,-0.053422,0.011916,-0.02082,-0.051113,0.030742,-0.00519,0.007467
Berber_Tunisia_Chen,-0.02795,0.139071,-0.008087,-0.07648,0.027732,-0.035202,-0.031387,0.005282,0.068425,0.029796,0.004006,-0.004388,0.019632,-0.016125,0.014092,-0.016905,0.000152,-0.02329,-0.046725,0.007858,-0.016831,-0.040428,0.028135,-0.004452,0.006367
Berber_Tunisia_Sen,-0.039102,0.134767,-0.018967,-0.0779,0.018809,-0.035567,-0.021662,0.005864,0.057688,0.020561,0.005645,-0.012236,0.026322,-0.009407,0.012478,-0.005007,-0.005691,-0.013168,-0.030338,0.01152,-0.008514,-0.024185,0.015,-5e-05,0.000549
