,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
ARG_Aconcagua_500BP,0.052359,-0.316845,0.122564,0.100453,-0.116022,-0.011435,-0.308334,-0.375446,-0.016771,-0.013121,-0.001461,-0.00045,0.001338,0.025323,-0.007872,0.00716,0.000782,-0.002027,0.005154,-0.000375,-0.004742,0.010016,0.002342,0.002892,-0.001676
ARG_ArroyoSeco2_7700BP,0.0552042,-0.311006,0.1192645,0.0922972,-0.1111745,-0.0206378,-0.2850092,-0.3403125,-0.0103795,-0.0156725,0.004506,0.00015,0.0007802,0.020162,-0.0085502,0.0063312,0.0060628,-0.002692,0.0069132,0.0041582,-0.00287,0.00847,-0.0013862,-0.0043378,-0.0002095
ARG_Fuego_Patagonian,0.0492285,-0.3160835,0.118039,0.0945582,-0.1167142,-0.0202895,-0.2863602,-0.3444662,-0.0142142,-0.017267,0.0019082,0.0012365,0.0017468,0.0227078,-0.0063788,0.0079555,0.008475,0.0012985,-0.0054995,-3.12e-05,-3.13e-05,0.0034622,-0.004622,-0.00244,-0.0017362
ARG_LagunaChica_6800BP,0.044391,-0.3137983,0.1160273,0.0925933,-0.116637,-0.0225903,-0.2822477,-0.339986,-0.012817,-0.0182843,-0.003843,-0.0018483,0.006343,0.0202307,-0.0036643,0.0035797,0.0046503,-0.00114,0.0087987,0.00346,-0.000208,0.0025967,-0.0034513,-0.0024503,-0.0058277
ARM_Areni_C,0.1115468,0.1327805,-0.0316782,-0.0281818,-0.0278512,-0.005508,0.0022325,-0.0073265,-0.0236735,-0.0068795,0.007064,0.0064068,-0.0066528,-0.0040598,-0.0060735,-0.0100438,-0.0098115,0.0026922,0.0009428,-0.006941,-0.002901,0.0025965,0.0014175,-0.0031932,0.0047898
ARM_LBA,0.100544,0.122879,-0.0314267,-0.0117357,-0.035699,0.0013017,0.00376,-0.0116917,-0.0465633,-0.0213217,-0.0052507,0.002348,-0.005996,-0.0046333,0.0093197,-0.005878,-0.0009127,0.000718,0.002011,0.0056277,-0.0056567,-0.0014427,0.0077647,-0.0022893,0.002954
ARM_Lchashen_MBA,0.102441,0.112724,-0.0397865,-0.0166345,-0.0426235,-0.0073905,0.00094,-0.0075,-0.044484,-0.0229615,0.0103115,0.005845,-0.0043855,-0.0057115,0.006379,0.0034475,0.013234,0.000317,0.00044,0.0031265,-0.0008735,-0.001917,-0.003204,0.003916,-0.0011975
ARM_MBA,0.103579,0.1223715,-0.031678,-0.013243,-0.0350835,-0.0027885,0.00329,-0.0065765,-0.053585,-0.0188615,0.004141,0,-0.007656,0.00172,0.0139115,-0.000265,0.0008475,-0.003674,0.000566,-0.000125,0.005428,0.0012985,0.005423,-0.0007835,0.000958
AUT_LBK_N,0.1220754,0.1839379,0.015792,-0.0885424,0.0642426,-0.0428098,-0.0023206,-0.0037789,0.0449952,0.0860381,0.0079368,0.0105094,-0.0204036,0.0025289,-0.0382054,-0.0129606,0.0148475,0.0011245,0.0146436,-0.0096453,-0.006738,0.0098304,-0.0058542,-0.0064919,-0.0058527
AZE_Caucasus_lowlands_LC,0.095611,0.141159,-0.072784,-0.059755,-0.024928,-0.018686,0.01081,-0.004615,-0.024338,-0.003827,0.00341,-0.01124,0.015461,0.006744,-0.016694,0.034473,0.026859,0.005574,0.001383,-0.014507,0.009234,0.021639,0.002958,-0.015665,-0.002155
AZE_Caucasus_lowlands_LN,0.097319,0.1457285,-0.068636,-0.0702525,-0.0333905,-0.021893,0.0094005,-0.0141915,-0.0224975,0.0027335,0.001705,0.0050205,-0.014197,0.0016515,-0.0084145,-0.0110045,0.008866,0.0022805,0.004085,-0.0011255,0.0061145,0.004946,-0.0049915,-0.006326,0.001916
Baltic_EST_BA,0.1321485,0.1213556,0.0992205,0.111662,0.051671,0.040746,0.0158398,0.0204684,-0.0029042,-0.050607,0.0009094,-0.0182389,0.0359462,0.0400344,-0.0180239,0.0018297,0.0103654,-0.000684,-0.0013952,0.0046272,-0.0024957,-0.0062692,0.0106487,-0.017388,0.002359
